|wheels|maltese cross (12x6.5mm front, 10x5.5mm rear)|maltese cross 12x6.5mm front / maltese cross 10x5.5mm rear|
|wheels|maltese cross (10x5.5mm front, 12x6.5mm rear)|maltese cross 10x5.5mm front / maltese cross 12x6.5mm rear|
MW436|base|(A)|, classic logo
MW436|base|(B)|, oval logo
MW437|base|(A)|, classic logo
MW437|base|(B)|, oval logo
MW443|base_type|r/^A$|CHINA imprinted; FLATBED TRUCK cast
MW443|base_type|r/^B$|CHINA and DELIVERY TRUCK imprinted; FLATBED TRUCK cast
MW443|base_type|r/^C$|CHINA and FLATBEDTRUCK cast
MW445|base_type|r/^A$|DELIVERY TRUCK cast / old logo
MW445|base_type|r/^B$|DELIVERY TRUCK imprinted, FLATBED TRUCK cast / old logo
MW445|base_type|r/^C$|FLATBEDTRUCK cast / old logo
MW445|base_type|r/^D$|DELIVERY TRUCK cast / new logo
MW445|base_type|r/^E$|DELIVERY TRUCK cast / new logo
MW446|base|(A)|, classic logo
MW446|base|(B)|, oval logo
MW450|base_type|r/^A$|1999 / FORD DUMP + UTILITY TRUCK / old
MW450|base_type|r/^B$|2000 / FORD F-SERIES TRUCK / new
MW450|base_type|r/^C$|1999 / FORD DUMP + UTILITY TRUCK / new
MW463|base|(A)|, classic logo
MW463|base|(B)|, oval logo
MW522|base|(A)|, classic logo
MW522|base|(B)|, oval logo
MW586|billboard|r/\bclear\b|colorless
MW611|base|(A)|, "NISSAN Z"
MW611|base|(B)|, "NISSAN"
MW690|barrel|(A)| smooth
MW690|barrel|(B)| ribbed
MW706|body|(A)|/ smooth
MW706|body|(B)|/ crisscross
MW712|grille_type|A|straight
MW712|grille_type|B|reinforced
MW722|base|(A)|, no base name
MW722|base|(B)|, with base name
MW724|base|(A)|, no base name
MW724|base|(B)|, with base name
MW754|base|(A)|/ Aeromax
MW754|base|(B)|/ AeroMax
MW754|base|(C)|, revised text/ AeroMax

|airplane_windows|r/\bclear\b|colorless
|base|r/\bcasting\b|
|canopy|r/\bclear\b|colorless
|date|.| / |
|dome_lights|r/\bclear\b|colorless
|dome_light|r/\bclear\b|colorless
|front_rear_wheels|r/\ball\b|
|manufacture|r/\bcasting\b|
|roof_light|r/\bclear\b|colorless
|windows|r/\bclear\b|colorless
|window|r/\bclear\b|colorless
|windscreen|r/\bclear\b|colorless
|windshield|r/\bclear\b|colorless

|label_tampo|r/\bLS 01-B|SF01b
|labels|r/\bLS 01-B|SF01b
|label|r/\bLS 01-B|SF01b
|labels_tampo|r/\bLS 03-A|MI803
|labels|r/\bLS 03-A|MI803
|hood_label|r/\bLS 03-B|SF03b
|labels|r/\bLS 03-B|SF03b
|label|r/\bLS 03-B|SF03b
|wheels_hubs|r/\bLS 03-B|SF03b
|wheels|r/\bLS 03-B|SF03b
|front_wheels|r/\bLS 05-A|SF05a
|wheels|r/\bLS 05-A|SF05a
|labels_tampo|r/\bLS 07-B|SF07b
|label_tampo|r/\bLS 08-B|SF08b
|labels_tampo|r/\bLS 08-B|SF08b
|labels|r/\bLS 08-B|SF08b
|labels|r/\bLS 11-B|SF11b
|labels|r/\bLS 13-A|SF13a
|label_tampo|r/\bLS 13-B|SF13b
|labels_tampo|r/\bLS 13-B|SF13b
|labels|r/\bLS 13-B|SF13b
|label|r/\bLS 13-B|SF13b
|labels|r/\bLS 14-B|SF14b
|label|r/\bLS 14-B|SF14b
|hood_label|r/\bLS 15-A|SF15a
|side_labels|r/\bLS 15-A|SF15a
|labels|r/\bLS 15-B|MB015
|labels|r/\bLS 17-B|SF17b
|label|r/\bLS 18-A|MI818
|label|r/\bLS 19-A|SF19a
|side_labels|r/\bLS 19-A|SF19a
|label_tampo|r/\bLS 19-B|SF19b
|labels_tampo|r/\bLS 20-B|MB020
|labels_tampo|r/\bLS 20-B|SF20b
|canopy_gun|r/\bLS 20-C|MB095
|labels|r/\bLS 22-C|MB022
|labels_tampo|r/\bLS 23-A|MI823
|labels|r/\bLS 23-A|MI823
|labels_tampo|r/\bLS 25-C|MI725
|labels|r/\bLS 25-C|MI725
|engine|r/\bLS 26-B|SF26b
|labels_tampo|r/\bLS 29-B|SF29b
|labels|r/\bLS 29-B|SF29b
|hood_label|r/\bLS 31-B|SF31b
|labels_tampo|r/\bLS 31-C|MB031
|label|r/\bLS 32-B|SF32b
|labels_tampo|r/\bLS 33-C|MB033
|rider|r/\bLS 33-C|MB033
|label|r/\bLS 34-A|SF34a
|labels|r/\bLS 34-B|SF34b
|label_tampo|r/\bLS 35-B|SF35b
|label|r/\bLS 36-C|SF36c
|labels|r/\bLS 38-A|MI838
|labels|r/\bLS 40-A|SF40a
|label|r/\bLS 40-A|SF40a
|wheels|r/\bLS 40-A|SF40a
|label|r/\bLS 41-A|SF41a
|labels|r/\bLS 42-C|SF42c
|hood_label|r/\bLS 45-A|SF45a
|label_tampo|r/\bLS 46-B|SF46b
|labels_tampo|r/\bLS 46-B|SF46b
|hood_label_tampo|r/\bLS 47-B|SF47b
|hood_label|r/\bLS 47-B|SF47b
|label_tampo|r/\bLS 47-B|SF47b
|labels_tampo|r/\bLS 47-B|SF47b
|labels|r/\bLS 47-B|SF47b
|label|r/\bLS 47-B|SF47b
|labels|r/\bLS 47-C|SF47c
|labels_tampo|r/\bLS 47-C|SF47c
|labels_tampo|r/\bLS 48-B|SF48b
|labels|r/\bLS 48-B|SF48b
|label|r/\bLS 48-B|SF48b
|side_labels|r/\bLS 48-B|SF48b
|label_tampo|r/\bLS 52-A|SF52a
|label|r/\bLS 55-A|SF55a
|hood_label|r/\bLS 55-B|SF55b
|labels_tampo|r/\bLS 55-B|SF55b
|labels|r/\bLS 55-B|SF55b
|label|r/\bLS 55-B|SF55b
|hood_label|r/\bLS 59-B|MI859
|side_labels|r/\bLS 59-B|MI859
|decals_labels|r/\bLS 60-C|MB060
|label|r/\bLS 61-A|SF61a
|labels|r/\bLS 62-B|SF62b
|hood_label_tampo|r/\bLS 62-C|SF62c
|labels_tampo|r/\bLS 62-C|SF62c
|labels|r/\bLS 62-C|SF62c
|label|r/\bLS 62-C|SF62c
|labels|r/\bLS 63-B|SF63b
|labels_tampo|r/\bLS 64-C|SF64c
|treads|r/\bLS 64-D|MB064
|labels|r/\bLS 65-B|MB065
|label|r/\bLS 69-B|SF69b
|labels|r/\bLS 70-B|SF70b
|treads|r/\bLS 70-C|MI770
|labels|r/\bLS 71-A|MI871
|labels_tampo|r/\bLS 73-A|SF73a
|labels|r/\bLS 73-A|SF73a
|labels|r/\bLS 74-A|SF74a
|wheels|r/\bLS 75-B|SF75b
|wheels|r/\bLS75-B|SF75b

|area|Rest of World|R
|area|United States|U
|area|Germany|D
|area|Britain|B
|area|r/^A / CH$|AT;CH
|area|r/^A$|AT
