d|blue body and trailer, "Bedford" and "Courier" labels, SuperFast wheels

m|1963| 11|A|Fordson Tractor and Farm Trailer
d|blue body, orange steering wheel
d|blue body, blue steering wheel

m|1969| 11|B|DAF Car Transporter
d|blue cab, gold trailer, "DAF" labels, regular wheels
d|yellow cab, yellow and orange trailer, "DAF" labels, regular wheels
d|yellow cab, yellow and red trailer, "DAF" labels, SuperFast wheels
d|yellow cab, yellow and orange trailer, "DAF" labels, SuperFast wheels
d|yellow cab, yellow and orange trailer, stripes labels, SuperFast wheels

m|1976| 11|C|Breakdown Truck
d|SuperFast wheels
d|yellow body, white booms, red hooks, "AA" labels
d|yellow body, white booms, red hooks, "Shell Recovery" labels
d|red body, white booms, red hooks, "Falck-Zonen" labels

m|1981| 11|D|Dodge Delivery Van
d|SuperFast wheels
d|yellow body, "Michelin" labels
d|blue body, "Frankfurter Allgemeine" labels
d|blue body, "Suchard Express" labels
d|yellow body, "Suchard Express" labels

m|1963| 12|A|Heavy Breakdown Wreck Truck
d|green body, no roof lights cast, "BP" decals
d|green body, roof lights cast, "BP" decals

m|1969| 12|B|Scammell Crane Truck
d|yellow body and crane, regular wheels
d|orange body and crane, SuperFast wheels
d|silver-gray body, red crane, SuperFast wheels

m|1975| 12|C|Hercules Mobile Crane
d|SuperFast wheels
d|yellow body, crane and hook, "LAING" labels
d|yellow body and crane, red hook, "LAING" labels
d|blue body, red crane and hook, "Hoch and Tief" labels

m|1963| 13|A|Readymix Concrete Truck
d|orange body, "Readymix" decals, regular wheels
d|orange body, "RMC" decals, regular wheels

m|1971| 13|B|Building Transporter
d|SuperFast wheels
d|light-green body
d|lime green body

m|1976| 13|C|Aircraft Transporter
d|SuperFast wheels
d|red body, "X4" labels, white plane
d|red body, "12" labels, brown plane with white wings
d|silver-gray body, no labels, white plane
d|silver-gray body, stripes labels, white plane

m|1963| 14|A|Taylor Jumbo Crane
d|yellow body, yellow weight box, regular wheels
d|yellow body, red weight box, regular wheels

m|1971| 14|B|Scammell Freight Truck
d|blue body, bronze-red container with white roof, "LEP" labels, SuperFast wheels

m|1977| 14|C|Heavy Breakdown Truck
d|white body, red rear section, "Shell Recovery" labels, SuperFast wheels

m|1964| 15|A|Merryweather Fire Engine
d|red body, gray ladder, regular wheels
d|red body, gray ladder, SuperFast wheels
d|red body, silver-gray ladder, SuperFast wheels

m|1973| 15|B|The Londoner
d|SuperFast wheels
d|red body, "Swinging London Carnaby Street" labels, bell cast
d|red body, "Swinging London Carnaby Street" labels, no bell cast
d|silver-gray body, "Silver Jubilee 1952-1977" labels
d|red body, "Harrods" labels
d|red body, "Hamley's" labels
d|red body, "Tourist London By Bus" labels
d|red body, "London Dungeon" labels
d|silver body, "London Dungeon" labels
d|silver body, "Royal Wedding" labels
d|red body, "Firestone" labels
d|powder blue and dark-blue body, "Parish Church" labels
d|powder blue and white body, "Macleans toothpaste" labels
d|blue body, "Alton Towers" labels
d|creme and blue body, "Telegraph and Argo" labels
d|red body, "Nestles Milkybar" labels
d|red body, "Petticoat Lane" labels
d|yellow and brown body, "Butterkist Butter Toffe Popcorn" labels
d|red body, "London Wide Tour Bus" labels
d|red body, "The Planetarium" labels
d|red body, "Besuchen Sie Berlin Hauptstadt Der DDR" labels
d|red body, Chinese side labels, "Matchbox" roof label
d|red body, "Around London Tour Bus" labels
d|yellow body, "1 2 3 4" tempa
d|silver-gray body, "Cada Toys" labels

m|1982| 15|C|The Londoner
d|beige body, "Berlin ist eine Reise Wert!" labels, SuperFast wheels
d|has doors cast on opposite side from K-15-B

m|1966| 16|A|Dodge Tractor with Twin Tipper
d|green cab, yellow tippers, regular wheels
d|yellow cab, powder blue tippers, SuperFast wheels

m|1974| 16|B|Petrol Tanker
d|SuperFast wheels; white tank unless otherwise noted
d|red cab, "Texaco" labels
d|green cab, "Texaco" labels
d|green cab, "Quaker State" labels
d|white cab, "Shell" labels
d|white cab, "Exxon" labels
d|blue cab, "Aral" labels
d|white cab, "Total" labels
d|white cab, "BP" labels
d|red cab, "LEP" labels
d|black cab, yellow tank, "Chemco" labels

m|1967| 17|A|Low Loader with Bulldozer
d|green cab and trailer, "Laing" decals, red and yellow bulldozer
d|green cab and trailer, "Taylor Woodrow" decals, red and yellow bulldozer
d|lime green cab and trailer, "Taylor Woodrow" decals, SuperFast wheels, orange and yellow bulldozer
d|florescent red cab, lime green trailer, "Taylor Woodrow" decals, SuperFast wheels, orange and yellow bulldozer

m|1974| 17|B|Scammell Articulated Container Truck
d|SuperFast wheels
d|red cab and trailer, yellow containers with blue roofs, "Gentransco" labels
d|red cab and trailer, orange containers with blue roofs, "Gentransco" labels
d|red cab and trailer, orange containers with orange roofs, "Gentransco" labels
d|red cab and trailer, white containers with blue roofs, "Gentransco" labels
d|red cab and trailer, white containers with orange roofs, "Gentransco" labels
d|red cab and trailer, white containers with black roofs, "Gentransco" labels
d|red cab and trailer, white containers with red roofs, "Gentransco" labels
d|red cab, blue trailer, white containers with blue roofs, "Gentransco" labels
d|blue cab and trailer, white containers with blue roofs, "Gentransco" labels
d|red cab and trailer, white containers with blue roofs, "Ginny Vogue Dolls" labels
d|red cab, black trailer, white containers with blue roofs, "Gentransco" labels
d|red cab, white trailer, white containers with blue roofs, "Gentransco" labels
d|yellow cab, black trailer, yellow containers with yellow roofs, "Gentransco" labels
d|yellow cab, black trailer, yellow containers with yellow roofs, "DBP" labels
d|yellow cab, black trailer, yellow containers with yellow roofs, "Deutsche Bundespost" labels
d|blue cab, white trailer, white containers with blue roofs, "Pppick up a Penguin" labels
d|white cab, black trailer, white containers with green roofs, "7 Up" labels

m|1967| 18|A|Articulated Horse Box
d|red cab, tan box, regular wheels
d|red cab, tan box, SuperFast wheels
d|red cab, orange box, SuperFast wheels

m|1974| 18|B|Articulated Tipper Truck
d|SuperFast wheels
d|red cab, silver-gray chassis, black trailer chassis, yellow tipper, stripes labels
d|silver-gray cab, red chassis, red trailer chassis, silver-gray tipper, stripes labels
d|silver-gray cab, red chassis, red trailer chassis, silver-gray tipper, "Tarmac" labels
d|silver-gray cab, red chassis, red trailer chassis, yellow tipper, "Tarmac" labels
d|yellow cab, black chassis, black trailer chassis, yellow tipper, "US Steel" labels
d|blue cab, red chassis, red trailer chassis, blue tipper, "Hoch and Tief" labels
d|white cab, black chassis, black trailer chassis, silver-gray tipper, "Condor" labels

m|1967| 19|A|Scammell Tipper Truck
d|red cab, yellow tipper, black grille, decals, regular wheels
d|red cab, yellow tipper, black grille, labels, regular wheels
d|red cab, orange-yellow tipper, black grille, labels, regular wheels
d|red cab, orange-yellow tipper, red grille, SuperFast wheels
d|red cab, orange-yellow tipper, black grille, SuperFast wheels

m|1979| 19|B|Security Truck
d|SuperFast wheels
d|white cab and chassis, yellow roof, "Group 4" labels
d|white cab and chassis, orange roof, "Group 4" labels
d|white cab and chassis, orange roof, "Fort Knox" labels
d|white cab and chassis, red roof, "Fort Knox" labels

m|1968| 20|A|Tractor Transporter
d|red cab with yellow tanks, red trailer, blue tractors, regular wheels
d|red cab with red tanks, red trailer, blue tractors, regular wheels
d|florescent red cab, yellow trailer, blue tractors, SuperFast wheels
d|blue cab, yellow trailer, orange tractors, SuperFast wheels
d|blue cab, silver-gray trailer, orange tractors, SuperFast wheels
d|blue cab, gold trailer, orange tractors, SuperFast wheels
d|red cab, silver-gray trailer, orange tractors, SuperFast wheels

m|1973| 20|B|Cargo Hauler and Pallet Loader
d|SuperFast wheels
d|metallic green body, yellow barrels
d|lime green body, yellow barrels
d|lime green body, blue barrels

m|1979| 20|C|Peterbilt Wrecker
d|SuperFast wheels
d|dark-green body, red dome lights
d|dark-green body, orange dome lights
d|white body, orange dome lights
d|dark-green body, blue dome lights
d|light-green body, red dome lights

m|1968| 21|A|Mercury Cougar
d|gold body, regular wheels

m|1971| 21|B|Cougar Dragster
d|SuperFast wheels
d|pink body, "Dinamite" labels
d|purple body, "Dinamite" labels
d|burgundy body, "Dinamite" labels
d|purple body, "Bender" labels

m|1974| 21|C|Tractor Transporter
d|SuperFast wheels
d|blue body, yellow ramp

m|1979| 21|D|Ford Transcontinental
d|SuperFast wheels
d|blue cab, white chassis, white tarp, "Santa Fe" livery
d|yellow cab, yellow chassis, green tarp, "Continental" livery
d|yellow cab, white chassis, blue bed, green tarp, "Continental" livery
d|green cab, white chassis, white tarp, "Nichts geht uber Barenmarke" livery
d|yellow cab, blue chassis, blue tarp, "Danzas" livery
d|green cab, white chassis, white tarp, "Polara" livery
d|yellow cab, yellow chassis, yellow tarp, "Weetabix" livery
d|blue cab, white chassis, orange canopy, "Sunkist" livery

m|1969| 22|A|Dodge Charger
d|dark-blue, regular wheels

m|1971| 22|B|Dodge Dragster
d|SuperFast wheels
d|pinkish-orange body, "Bender" labels
d|orange body, "Bender" labels
d|orange body, "Dinamite" labels

m|1974| 22|C|SRN6 Hovercraft
d|SuperFast wheels
d|blue deck, white hull, white window section, "SRN6" and "Seaspeed" labels
d|white deck, black hull, red window section, "Calais-Ramsgate" and "Hoverfloyd" labels
d|white deck, black hull, red window section, "SRN6" and "Seaspeed" labels
d|white deck, white hull, white window section, "SRN6" and "Seaspeed" labels

m|1969| 23|A|Mercury Police Commuter
d|white body, regular wheels
d|white body, SuperFast wheels

m|1974| 23|B|Lowloader and Bulldozer
d|SuperFast wheels
d|blue cab, gold trailer, red buldozer with yellow blade
d|blue cab, blue trailer, blue buldozer with red blade, "Hoch and Tief" labels
d|yellow cab, orange trailer, yellow buldozer with silver-gray blade
d|red cab, gold trailer, red buldozer with yellow blade
d|orange cab, orange trailer, yellow buldozer with silver-gray blade

m|1969| 24|A|Lamborghini Miura
d|red body, regular wheels
d|bronze body, regular wheels
d|burgundy body, hood label, regular wheels
d|blue body, yellow trunk, hood label, regular wheels

m|1976| 24|B|Scammell Container Truck
d|SuperFast wheels
d|red body, white container, red roof, "Crowe" labels
d|red body, white container, orange roof, "Crowe" labels
d|red body, orange container, red roof, "Michelin" labels
d|red body, white container, red roof, "Bauknecht Komplettkuchen" labels
d|red body, white container, red roof, "Gentrasco" labels
d|red body, white container, blue roof, "Gentrasco" labels

t|All remaining models have SuperFast wheels where appropriate.

m|1971| 25|A|Powerboat and Trailer
d|all have white hull and yellow trailer
d|orange deck, white prop, "Seaburst" labels
d|orange deck, red prop, "Seaburst" labels
d|red deck, red prop, "Chrysler" labels
d|orange deck, red prop, "Chrysler" labels
d|orange deck, blue prop, "Chrysler" labels

m|1977| 25|B|Digger and Plow
d|red body and plow, silver-gray backhoe and scoop
d|orange body and plow, silver-gray backhoe and scoop
d|yellow body, red plow, yellow backhoe, red scoop
d|yellow body and plow, yellow backhoe and scoop
d|green body, no plow, silver-gray backhoe, green scoop

m|1971| 26|A|Mercedes Benz "Binz" Ambulance
d|white body

m|1978| 26|B|Cement Truck
