formatter|man|tomica|Tomica Lineup
page|b:bgc,#FFFFFF|b:c,#000000|l:c,#0000CC|v:c,#CC0000
style|.table|bgc,#FFFFFF
data|m|id,subid,first_year,scale,rawname,desc
data|H|year,label,title

H|1970|m|Tomica Models


m| 23|  4|1990| 1:102|Fuso Covered Truck
m| 23|  5|1996|  1:64|Mazda Bongo Friendee
m| 23|  6|2002|  1:62|Nissan Skyline Safety Car
m| 23|  7|2007|  1:57|Toyota Probox Voluntary Security Car
m| 23|  8|2011|  1:68|Mitsubishi RVR
m| 23|  9|2013|  1:59|Mitsubishi Mirage

m| 24|  1|1971|  1:68|Toyota Hiace Truck
m| 24|  2|1975|      |Hino Semi Trailer Panel Van
m| 24|  3|1980| 1:127|Fuso Container Truck
m| 24|  4|1984|  1:56|Toyota MR-2
m| 24|  5|1995|  1:57|Toyota RAV4
m| 24|  6|2002|  1:61|Toyota Soarar
m| 24|  7|2005|      |Komatsu Motor Grader
m| 24|  8|2011| 1:167|Kawasaki BK-117 C-2 Helicopter

m| 25|  1|1971|  1:56|Mitsubishi J3R Jeep
m| 25|  2|1980|  1:57|Mitsubishi H-J58 Jeep
m| 25|  3|1998|      |Mitsubishi H-J58 Big Foot
m| 25|  4|2001|  1:68|Mitsuoka Le-Seyde
m| 25|  5|2007|  1:63|Mitsuoka Orochi

m| 26|  1|1971|  1:60|Toyota Celica 1600GT
m| 26|  2|1978|  1:58|Kojima 009 Ford Racer
m| 26|  3|1980|  1:68|Nissan Caball Skymaster
m| 26|  4|1982|  1:72|Isuzu Elf Ts30 Crane
m| 26|  5|1991|      |Exploration Bus (Lion Bus)
m| 26|  6|2009|  1:65|Shimajiro Car
m| 26|  7|2013|  1:67|Tokai University Solar Car Tokai Challenger

m| 27|  1|1971|  1:65|Toyota Crown Fire Chief
m| 27|  2|1972|  1:65|Toyota Crown Fire Chief
m| 27|  3|1975|  1:65|Toyota Crown Fire Chief
m| 27|  4|1978|  1:68|Toyota Hiace Potato Van
m| 27|  5|1985|  1:70|Isuzu Hipac Footwork Van
m| 27|  6|2000|  1:60|Toyota Will Vi
