formatter|pic/lesney|mline|Matchbox Lineup
page|b:bgc,#FFFFFF|b:c,#000000|l:c,#0000CC|v:c,#CC0000
dir|CAT|pic/man
dir|RW|pic/man
dir|SF|pic/man
dir|K|pic/king
dir|M|pic/king
dir|Y|pic/mcoll
SF|1975|1981|20|2|Police Patrol|MB020
RW|1956|1957|21|1|Bedford Long Distance Coach
RW|1958|1960|21|2|Bedford Duple Luxury Coach
RW|1961|1967|21|3|Commer Milk Truck
RW|1968|1969|21|4|Foden Concrete Truck
SF|1970|1972|21|1|Foden Concrete Truck
SF|1973|1977|21|2|Road Roller
SF|1978|1981|21|3|Renault 5TL|MB021
RW|1956|1957|22|1|Vauxhall Cresta
RW|1958|1963|22|2|1958 Vauxhall Cresta
RW|1964|1969|22|3|Pontiac Grand Prix Sports Coupe
SF|1970|1970|22|1|Pontiac Grand Prix Sports Coupe
SF|1971|1974|22|2|Freeman Intercity Commuter
SF|1975|1981|22|3|Blaze Buster|MB022
RW|1956|1957|23|1|Berkeley Cavalier Trailer (no #)
RW|1958|1959|23|2|Berkeley Cavalier Trailer
RW|1960|1964|23|3|Bluebird Dauphine Trailer
RW|1965|1969|23|4|Trailer Caravan
SF|1970|1974|23|1|Volkswagen Camper / Dormobile
SF|1975|1980|23|2|Atlas Dump Truck|MB023
SF|1981|1981|23|3|Ford Mustang GT350
RW|1956|1958|24|1|Weatherill Hydraulic Excavator
RW|1959|1966|24|2|Hydraulic Excavator
RW|1967|1969|24|3|Rolls Royce Silver Shadow
SF|1970|1972|24|1|Rolls Royce Silver Shadow
SF|1973|1977|24|2|Team Matchbox
SF|1978|1980|24|3|Shunter|MB024
SF|1981|1981|24|4|Datsun 280ZX
RW|1956|1959|25|1|Bedford "Dunlop" Van
RW|1960|1963|25|2|Volkswagen 1200 Sedan
RW|1964|1967|25|3|Bedford Petrol Tanker
RW|1968|1969|25|4|Ford Cortina
SF|1970|1971|25|1|Ford Cortina
SF|1972|1977|25|2|Mod Tractor
SF|1978|1980|25|3|Flat Car and Container
SF|1981|1981|25|4|Celica GT
RW|1956|1960|26|1|ERF Concrete Truck
RW|1961|1967|26|2|Foden Concrete Truck
RW|1968|1969|26|3|G.M.C. Tipper Truck
SF|1970|1971|26|1|GMC Tiper
SF|1972|1975|26|2|Big Banger
SF|1976|1980|26|3|Site Dumper
SF|1981|1981|26|4|Cosmic Blues
RW|1956|1958|27|1|Bedford Lowloader (3 1/8")
RW|1959|1959|27|2|Bedford Lowloader (3 3/4")
RW|1960|1965|27|3|Cadillac Sixty Special
RW|1966|1969|27|4|Mercedes Benz 230SL
SF|1970|1972|27|1|Mercedes 230SL
SF|1973|1980|27|2|Lamborghini Countach
SF|1981|1981|27|3|Swept Wing Jet|MB027
RW|1956|1958|28|1|Bedford Compressor Truck
RW|1959|1963|28|2|Thames Compressor Truck
RW|1964|1967|28|3|Mark 10 Jaguar
RW|1968|1969|28|4|Mack Dump Truck
SF|1970|1973|28|1|Mack Dump Truck
SF|1974|1978|28|2|Stoat
SF|1979|1981|28|3|Lincoln Continental Mk V
RW|1956|1960|29|1|Bedford Milk Delivery Van
RW|1961|1965|29|2|Austin A55 Cambridge Sedan
RW|1966|1969|29|3|Fire Pumper Truck
SF|1970|1970|29|1|Fire Pumper
SF|1971|1975|29|2|Racing Mini
SF|1976|1981|29|3|Tractor Shovel|MB029
RW|1956|1960|30|1|Ford Prefect
RW|1961|1964|30|2|Magirus Deutz Crane (6-Wheel)
RW|1965|1969|30|3|Favin Crane (8-Wheel)
SF|1970|1970|30|1|Eight Wheel Crane
SF|1971|1975|30|2|Beach Buggy
SF|1976|1980|30|3|Swamp Rat
SF|1981|1981|30|4|Leyland Articulated Truck|MB030
RW|1957|1959|31|1|Ford Customline Station Wagon
RW|1960|1963|31|2|Ford Fairlane Station Wagon
RW|1964|1969|31|3|Lincoln Continental
SF|1970|1970|31|1|Lincoln Continental
SF|1971|1976|31|2|Volksdragon
SF|1977|1980|31|3|Caravan|MB031
SF|1981|1981|31|4|Mazda RX-7
RW|1957|1961|32|1|Jaguar XK140 Coupe
RW|1962|1967|32|2|"E" Type Jaguar Coupe
RW|1968|1969|32|3|Leyland Petrol Tanker
SF|1970|1971|32|1|Leyland Tanker
SF|1972|1977|32|2|Maserati Bora
SF|1978|1980|32|3|Field Gun
SF|1981|1981|32|4|Atlas Excavator|MB032
RW|1957|1962|33|1|Ford Zodiac MKII Sedan
RW|1963|1968|33|2|Ford Zephyr 6 MKIII
RW|1969|1969|33|3|Lamborghini Miura P 400
SF|1969|1972|33|1|Lamborghini Miura
SF|1973|1976|33|2|Datsun 126X
SF|1977|1981|33|3|Police Motorcycle|MB033
RW|1957|1961|34|1|Volkswagen Microvan
RW|1962|1966|34|2|Volkswagen Camper (roof unraised)
RW|1967|1967|34|3|Volkswagen Camper (roof raised with windows)
RW|1968|1970|34|4|Volkswagen Camper (roof raised without windows)
SF|1971|1974|34|1|Formula 1
SF|1975|1980|34|2|Vantastic
SF|1981|1981|34|3|Chevy Prostocker|MB034
RW|1957|1963|35|1|Marshall Horse Box
RW|1964|1969|35|2|Snow Trac Tractor
SF|1970|1974|35|1|Merryweather Fire Engine
SF|1975|1981|35|2|Fandango
RW|1957|1960|36|1|Austin A50
RW|1961|1965|36|2|Lambretta Scooter and Sidecar
RW|1966|1969|36|3|Opel Diplomat
SF|1970|1970|36|1|Opel Diplomat
SF|1971|1974|36|2|Hot Rod Draguar
SF|1975|1979|36|3|Formula 5000|MB028
SF|1980|1981|36|4|Refuse Truck|MB036
RW|1957|1959|37|1|Coca Cola Lorry (no baseplate)
RW|1960|1965|37|2|Coca Cola Lorry
RW|1966|1969|37|3|Dodge Cattle Truck
SF|1970|1971|37|1|Cattle Truck
SF|1972|1975|37|2|Soopa Coopa
SF|1976|1980|37|3|Skip Truck
SF|1981|1981|37|4|Sunburner
RW|1957|1962|38|1|Karrier Refuse Collector
RW|1963|1966|38|2|Vauxhall Victor Estate Car
RW|1967|1969|38|3|Honda Motorcycle and Trailer
SF|1970|1971|38|1|Honda Motorcycle and Trailer
SF|1972|1975|38|2|Stingeroo
SF|1976|1979|38|3|Jeep
SF|1980|1981|38|4|Ford Camper
RW|1957|1961|39|1|Ford Zodiac Convertible
RW|1962|1966|39|2|Pontiac Convertible
RW|1967|1972|39|3|Ford Tractor
SF|1973|1978|39|1|Clipper
SF|1979|1981|39|2|Rolls Royce Silver Shadow II|MB039
RW|1957|1960|40|1|Bedford 7 Ton Tipper
RW|1961|1966|40|2|Leyland Royal Tiger Coach
RW|1967|1970|40|3|Hay Trailer
SF|1971|1975|40|1|Vauxhall Guildsman
SF|1976|1981|40|2|Horse Box|MB040
RW|1957|1959|41|1|"D" Type Jaguar (2 3/16")
RW|1960|1964|41|2|"D" Type Jaguar (2 7/16")
